timestamp	px_est	py_est	v_est	yaw_est	yawrate_est	sensor_type	NIS	px_meas	py_meas	px_gt	py_gt	vx_gt	vy_gt	yaw_gt	yawrate_gt	x_rmse	y_rmse	vx_rmse	vy_rmse
1477010444300000	7.29489	0.836928	5.05447	0.0960964	0.0942397	L	2.29638	7.13735	0.957217	7.3309	0.875373	5.11851	0.618123	0.120181	0.183051	0.0887944	0.0582685	0.920063	0.700909
1477010444350000	7.58639	0.850775	5.1568	0.0932499	0.0842936	R	4.48895	8.08349	0.819605	7.58668	0.907449	5.10946	0.664531	0.129333	0.189554	0.0871944	0.0582124	0.903496	0.68916
1477010444400000	7.83968	0.825881	5.14878	0.071775	0.0508367	L	0.797746	7.80533	0.719126	7.84199	0.941886	5.09966	0.712469	0.138811	0.196027	0.085679	0.0611218	0.887807	0.680167
1477010444450000	8.0899	0.8446	5.09074	0.0741399	0.050086	R	2.52872	8.40453	0.884557	8.0968	0.978759	5.08907	0.761915	0.148612	0.202468	0.0842483	0.0648945	0.872888	0.672416
1477010444500000	8.3296	0.857825	5.07246	0.0742345	0.0469952	L	0.3641	8.24796	0.840322	8.35106	1.01814	5.07766	0.812843	0.158735	0.208879	0.0829678	0.0700323	0.858701	0.666114
1477010444550000	8.59704	0.946114	5.16271	0.111298	0.0920403	R	6.38903	8.45858	1.41118	8.60472	1.06011	5.06537	0.865226	0.169179	0.215255	0.0816725	0.0718147	0.845256	0.657649
1477010444600000	8.83607	1.00052	5.14297	0.129204	0.109025	L	0.583843	8.74615	1.04858	8.85775	1.10473	5.05216	0.919037	0.179942	0.221599	0.080514	0.0730079	0.832392	0.649144
1477010444650000	9.12482	1.0399	5.1987	0.135677	0.110031	R	6.81042	9.8809	1.1419	9.1101	1.15208	5.03798	0.974245	0.191022	0.227907	0.0793613	0.0744547	0.820289	0.641214
1477010444700000	9.36378	1.06957	5.17441	0.139094	0.107504	L	0.629187	9.25579	1.04913	9.36172	1.20223	5.0228	1.03082	0.202417	0.234179	0.0782201	0.0767328	0.808668	0.634204
1477010444750000	9.64219	1.14246	5.2257	0.160862	0.128049	R	4.4014	10.1016	1.52474	9.61255	1.25524	5.00656	1.08873	0.214126	0.240414	0.0772841	0.0779597	0.797758	0.62674
1477010444800000	9.91603	1.26638	5.26	0.205718	0.176728	L	2.95827	10.0484	1.44598	9.86254	1.31118	4.98922	1.14794	0.226147	0.246611	0.0767381	0.0772508	0.787342	0.61833
1477010444850000	10.1646	1.35709	5.20192	0.234205	0.203937	R	4.78372	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841	0.238478	0.252769	0.0762073	0.0762568	0.777048	0.61014
1477010444900000	10.391	1.43595	5.17228	0.254532	0.217166	L	1.09815	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701	0.251116	0.258887	0.0753901	0.0752753	0.767071	0.602289
1477010444950000	10.6231	1.52238	5.08487	0.279513	0.239064	R	4.12423	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298	0.26406	0.264964	0.0744857	0.0744349	0.757452	0.594815
1477010445000000	10.8504	1.5516	5.05201	0.272746	0.215742	L	1.33805	10.7313	1.45265	10.853	1.56549	4.90794	1.39701	0.277309	0.271	0.0735728	0.0735535	0.748187	0.587544
1477010445050000	11.1157	1.60333	5.09204	0.272281	0.200208	R	1.94403	11.4783	1.42876	11.0979	1.637	4.8844	1.46213	0.290859	0.276993	0.0727433	0.0728581	0.739233	0.580683
1477010445100000	11.3958	1.64702	5.12901	0.266533	0.179757	L	2.01107	11.587	1.61462	11.3416	1.71179	4.85948	1.52832	0.304708	0.282942	0.0723663	0.0726802	0.730711	0.574529
1477010445150000	11.6273	1.7049	5.08065	0.273014	0.178037	R	0.922189	11.4763	1.53917	11.584	1.78992	4.83313	1.59551	0.318855	0.288846	0.0718364	0.0729839	0.722415	0.56898
1477010445200000	11.8582	1.76797	5.06184	0.280212	0.176069	L	0.354422	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366	0.333298	0.294705	0.0712051	0.0737982	0.714398	0.563995
1477010445250000	12.1134	1.85796	5.11811	0.295214	0.18196	R	1.35042	12.136	2.14937	12.0647	1.95639	4.77598	1.73273	0.348033	0.300517	0.0707915	0.0744205	0.706814	0.558986
1477010445300000	12.3573	1.88476	5.09907	0.281318	0.153113	L	0.728289	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265	0.363059	0.306282	0.0704834	0.0772378	0.699613	0.555882
1477010445350000	12.6131	1.94492	5.14242	0.280758	0.140837	R	0.936685	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338	0.378373	0.311998	0.070551	0.0812907	0.693072	0.553857
1477010445400000	12.8134	2.07971	5.10954	0.322634	0.184828	L	3.29257	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485	0.393973	0.317665	0.0700495	0.0833564	0.686381	0.550136
1477010445450000	13.0794	2.18657	5.20075	0.337757	0.18831	R	3.436	13.2198	2.66441	13.0075	2.33137	4.64258	2.01701	0.409856	0.323282	0.0700877	0.0850214	0.68051	0.546188
1477010445500000	13.2827	2.32809	5.17295	0.377604	0.226631	L	2.5196	13.0875	2.40708	13.2388	2.43409	4.605	2.08981	0.42602	0.328848	0.0696691	0.0854821	0.674408	0.54141
1477010445550000	13.4626	2.47579	5.0613	0.425291	0.278708	R	10.8894	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317	0.442462	0.334362	0.0690003	0.0851299	0.66792	0.53628
1477010445600000	13.7123	2.59012	5.09055	0.4403	0.279706	L	0.858245	13.836	2.62479	13.6955	2.65053	4.52448	2.23703	0.459181	0.339823	0.0683851	0.0847302	0.661682	0.531277
1477010445650000	13.9318	2.70432	5.06953	0.458775	0.286833	R	0.210406	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134	0.476172	0.34523	0.0677655	0.0843378	0.655584	0.526412
1477010445700000	14.1604	2.85722	5.09459	0.490472	0.307993	L	0.585007	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601	0.493433	0.350583	0.0671836	0.0836332	0.649643	0.521608
1477010445750000	14.4102	2.96572	5.16095	0.490828	0.282989	R	1.51126	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099	0.510962	0.355881	0.066859	0.0830329	0.64418	0.516944
1477010445800000	14.6178	3.03683	5.10623	0.485019	0.259163	L	2.25835	14.4616	2.90734	14.583	3.12802	4.34097	2.5362	0.528756	0.361122	0.0664301	0.083183	0.638931	0.512803
1477010445850000	14.8486	3.18986	5.16632	0.508152	0.267291	R	3.78872	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157	0.546812	0.366307	0.0661771	0.0829298	0.634078	0.508526
1477010445900000	15.0556	3.38265	5.19013	0.553416	0.306288	L	1.10799	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703	0.565128	0.371433	0.0658571	0.0822286	0.629108	0.504226
1477010445950000	15.2662	3.5504	5.1767	0.58654	0.332239	R	2.52584	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249	0.583699	0.376501	0.0655463	0.0816031	0.624065	0.500182
1477010446000000	15.4797	3.73727	5.20695	0.621158	0.353891	L	0.633264	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789	0.602525	0.381509	0.0653102	0.0814483	0.619085	0.496677
1477010446050000	15.6913	3.87199	5.19294	0.630948	0.34465	R	0.991119	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315	0.6216	0.386458	0.0651676	0.0811767	0.614281	0.493024
1477010446100000	15.9136	4.01374	5.1982	0.639762	0.33426	L	0.236592	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817	0.640923	0.391345	0.0653559	0.0808445	0.609739	0.489311
1477010446150000	16.1086	4.17886	5.15252	0.668672	0.357355	R	1.77546	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629	0.66049	0.39617	0.0654696	0.0806906	0.605087	0.485751
1477010446200000	16.3061	4.37278	5.17757	0.700251	0.373669	L	0.361343	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723	0.680299	0.400933	0.0656139	0.081204	0.6005	0.482633
1477010446250000	16.5162	4.537	5.1949	0.71281	0.364463	R	0.653025	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109	0.700345	0.405632	0.0660931	0.0818112	0.596118	0.479511
1477010446300000	16.6949	4.70409	5.17471	0.733084	0.367306	L	0.479778	16.6039	4.67344	16.613	4.5849	3.74	3.28438	0.720627	0.410268	0.0663572	0.0824937	0.591793	0.476417
1477010446350000	16.8466	4.90045	5.08534	0.782541	0.423143	R	4.50494	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704	0.74114	0.414838	0.0661272	0.0838658	0.587473	0.473713
1477010446400000	17.011	5.12411	5.11356	0.823192	0.446291	L	0.520412	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897	0.761882	0.419343	0.0657528	0.0867802	0.583372	0.471852
1477010446450000	17.1803	5.29642	5.08142	0.842798	0.447326	R	1.74868	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008	0.782849	0.423782	0.0653366	0.0894877	0.579422	0.469778
1477010446500000	17.3404	5.47556	5.06274	0.862517	0.444508	L	0.223563	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028	0.804038	0.428154	0.0648828	0.0921138	0.575588	0.467597
1477010446550000	17.4958	5.64731	5.01467	0.883171	0.448991	R	3.25925	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949	0.825446	0.432459	0.0644347	0.0943443	0.571954	0.465168
1477010446600000	17.6907	5.76802	4.96622	0.869038	0.406073	L	1.94635	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762	0.847069	0.436695	0.0640473	0.0949794	0.568083	0.462078
1477010446650000	17.8329	5.96695	4.93105	0.903604	0.432679	R	1.05916	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458	0.868904	0.440862	0.0636141	0.0958241	0.564467	0.45909
1477010446700000	18.008	6.15446	4.94321	0.91528	0.420543	L	0.758788	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027	0.890947	0.444959	0.0632344	0.0965807	0.56079	0.456109
1477010446750000	18.1569	6.36291	4.95702	0.939713	0.424294	R	0.673557	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462	0.913195	0.448987	0.0628461	0.0976081	0.557186	0.453236
1477010446800000	18.2786	6.5987	4.97994	0.978825	0.445282	L	0.503136	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753	0.935644	0.452943	0.0624474	0.0994957	0.553804	0.450676
1477010446850000	18.4096	6.81366	4.97649	1.00727	0.455647	R	0.235354	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289	0.958291	0.456828	0.0621012	0.101684	0.550589	0.448232
1477010446900000	18.5591	6.94881	4.89751	1.00034	0.421754	L	2.22183	18.5422	6.76013	18.572	6.80638	2.7356	4.08867	0.981133	0.46064	0.0617239	0.102301	0.547189	0.445402
1477010446950000	18.7086	7.15486	4.92983	1.00897	0.39906	R	0.664551	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672	1.00417	0.46438	0.0613374	0.102901	0.54376	0.442618
1477010447000000	18.9074	7.29097	4.88618	0.984177	0.34693	L	4.09119	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299	1.02738	0.468047	0.0614731	0.102557	0.540707	0.440128
1477010447050000	18.9944	7.49635	4.81763	1.02715	0.391335	R	4.07041	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737	1.05079	0.47164	0.0612126	0.10217	0.537433	0.437688
1477010447100000	19.0853	7.75771	4.86545	1.07297	0.421725	L	1.14333	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098	1.07437	0.475158	0.0608458	0.102276	0.534187	0.43506
1477010447150000	19.2062	7.965	4.86625	1.0876	0.411614	R	0.297484	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017	1.09813	0.478601	0.0604974	0.102261	0.531009	0.432499
1477010447200000	19.2856	8.18026	4.84578	1.11861	0.424059	L	1.3824	19.132	8.12845	19.3028	8.08329	2.12266	4.40842	1.12206	0.481969	0.0601693	0.102201	0.527877	0.429981
1477010447250000	19.3849	8.39099	4.84743	1.13402	0.410494	R	2.28457	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445	1.14615	0.48526	0.0598626	0.102027	0.524814	0.427526
1477010447300000	19.4808	8.53859	4.74851	1.13715	0.39163	L	3.94334	19.347	8.30741	19.5042	8.5289	1.90381	4.49819	1.17042	0.488475	0.0595706	0.101444	0.521881	0.425545
1477010447350000	19.5715	8.74794	4.72544	1.16084	0.401323	R	0.574156	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956	1.19484	0.491613	0.0592919	0.100869	0.518999	0.423688
1477010447400000	19.7345	8.92026	4.70126	1.14397	0.358972	L	4.17786	20.0039	8.8906	19.6835	8.983	1.67841	4.57848	1.21942	0.494673	0.0592053	0.100521	0.516855	0.422492
1477010447450000	19.8071	9.14255	4.67894	1.17906	0.388596	R	1.02438	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488	1.24416	0.497655	0.0590465	0.100236	0.514513	0.421252
1477010447500000	19.938	9.36662	4.70973	1.18391	0.371449	L	2.98006	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869	1.26904	0.500558	0.0596167	0.100019	0.512846	0.42001
1477010447550000	19.9823	9.58985	4.66259	1.23144	0.421709	R	2.71355	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984	1.29407	0.503383	0.0597787	0.0998968	0.510581	0.418763
1477010447600000	20.0697	9.82869	4.69338	1.25196	0.420727	L	0.739888	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826	1.31923	0.506127	0.0603005	0.0997398	0.50855	0.417321
1477010447650000	20.1302	10.0771	4.73516	1.27801	0.41995	R	7.14016	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389	1.34454	0.508793	0.0608585	0.099484	0.506643	0.415608
1477010447700000	20.1779	10.3488	4.79092	1.31522	0.437757	L	0.8921	20.166	10.4687	20.0818	10.3863	0.968259	4.75666	1.36998	0.511377	0.061335	0.0990335	0.504585	0.413603
1477010447750000	20.1929	10.5857	4.76065	1.36505	0.484155	R	2.92112	19.6774	10.803	20.1271	10.6247	0.845742	4.77652	1.39555	0.513881	0.0613836	0.0985965	0.502117	0.411614
1477010447800000	20.2512	10.8578	4.81976	1.39142	0.485642	L	2.01068	20.371	11.0109	20.1663	10.864	0.722256	4.7934	1.42124	0.516304	0.061672	0.098089	0.499718	0.409519
1477010447850000	20.2803	11.1139	4.84976	1.4202	0.485993	R	4.88185	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727	1.44706	0.518645	0.0618986	0.0975923	0.497334	0.407427
1477010447900000	20.3145	11.3523	4.84771	1.44386	0.485324	L	0.00120794	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807	1.47299	0.520904	0.0622227	0.097101	0.495019	0.405365
1477010447950000	20.2586	11.6024	4.80803	1.52444	0.579728	R	10.5885	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575	1.49904	0.523081	0.0619224	0.0966281	0.492694	0.403339
1477010448000000	20.3307	11.842	4.8163	1.52781	0.551006	L	4.82658	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027	1.52519	0.525176	0.0620065	0.0961592	0.490251	0.401342
1477010448050000	20.3577	12.0758	4.83185	1.53028	0.499603	R	3.74425	19.966	11.9688	20.2687	12.0692	0.093487	4.83159	1.55145	0.527187	0.0623284	0.0956889	0.487946	0.39937
1477010448100000	20.3442	12.3619	4.89748	1.56782	0.511884	L	1.10593	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968	1.57781	0.529115	0.0624535	0.0953564	0.485595	0.397483
1477010448150000	20.2934	12.6011	4.86574	1.62834	0.57473	R	3.16601	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451	1.60426	0.53096	0.062214	0.095018	0.483394	0.39558
1477010448200000	20.3188	12.8401	4.85956	1.6399	0.556025	L	1.88349	20.498	12.8924	20.254	12.7933	-0.28939	4.81605	1.63081	0.532721	0.0622393	0.0946744	0.481108	0.393704
1477010448250000	20.3062	13.0717	4.84098	1.66618	0.558011	R	2.10593	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428	1.65745	0.534397	0.0623164	0.0942983	0.478852	0.391846
1477010448300000	20.2711	13.2851	4.80116	1.69604	0.561139	L	1.03206	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918	1.68417	0.53599	0.0622854	0.0938629	0.476638	0.390018
1477010448350000	20.2327	13.5199	4.80232	1.72173	0.55219	R	1.29917	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072	1.71097	0.537498	0.06219	0.0934298	0.47445	0.388214
